Scenario,PositiveS,NegativeS,Questions,PositiveQ,NegativeQ
"Your boss asks you a question, and you realize you respond incorrectly. Your boss corrects you. You think the experience of being corrected by your boss is",Normal,Awful,Is it ok to occasionally answer a question from your boss incorrectly?,Yes,No
"Some important people are visiting your office and you are asked to present a project to them. On the day of the presentation, you arrange your slides and mentally prepare yourself. You think that your performance will be evaluated as",Organized,Unprofessional,Will the visitors be unimpressed with your performance?,No,Yes
"You overhear some work colleagues discussing other people and hear your name mentioned. You do not hear everything they say, but think that what they are saying would probably make you feel",Valued,Offended,Were your colleagues saying negative things about you?,No,Yes
"You are in a club, and are told you need to give a presentation to other club members. When it is time to present, you have a sip of water. You begin to speak, feel scared, and decide to",Continue,Stop,Do you stop your presentation when you feel scared?,No,Yes
"At your computer class you finish your work early and so the teacher gives you a new task to do. You read through it and cannot think of how to start, so you ask for advice. Your teacher probably sees you asking for help as a sign of",Competence,Weakness,Was your lecturer understanding when you asked for help?,Yes,No
"You are out to dinner with a few friends. During the meal, one friend says something that you really disagree with. As you voice your opinion, your friends become quiet because they are",Impressed,Annoyed,Are your friends annoyed by your point of view?,No,Yes
"You are required to go to a conference in Scotland for your firm. Your coworker who is supposed to go on the trip falls ill a few days before you leave, so your boss asks someone you don't know to go in his/her place. As you think about spending time with the person you do not know, you think he/she will think you are",Interesting,Awkward,Do you expect your new colleague to have a good impression of you?,Yes,No
"You and your partner want to go to a remote destination for vacation. You worry about going because you will not have access to your email or cell phone while away. You are anxious as you make the trip reservations, and decide that the trip will be",Relaxing,Terrible,Will the trip be relaxing?,Yes,No
"Your boss calls a meeting to discuss a new project that will involve most of the staff at your office. You are suddenly asked to contribute your ideas to the discussion. You quickly come up with some ideas on the spot, and think that your colleagues will find your ideas to be",Exciting,Foolish,Did your colleagues dislike your ideas at the meeting?,No,Yes
"You are at a small party with people from your company. You feel nervous about spending time with your coworkers outside of work. While at the party, you decide your nervousness is",Tolerable,Intolerable,Can you manage your nervousness at the party with your coworkers?,Yes,No
"You arrange to meet up with a friend who you have not seen for many years. You drive to the station to pick him up. When you arrive, you know he will find spending time with you",Fun,Boring,Do you think your friend will have a good time with you?,Yes,No
"On entering an interview, the panel of interviewers welcome you. You are the third candidate to be seen today and as you sit down, you feel your cheeks turning red. You think that they probably see you as",Calm,Scared,Do you think the interviewers see you as a nervous person?,No,Yes
"You go out shopping with a friend who tends to be very loud. While you are shopping, other shoppers stop and look at you and your friend. The experience is",Tolerable,Intolerable,Is it OK for people to look at you and your friend while out shopping?,Yes,No
"You have been a member of a choir for several years and enjoy performing at concerts. One evening, you are asked to sing on very short notice with another group. Afterwards you feel that the others found your contribution",Valuable,Disappointing,Were the other members of the choir happy with your singing?,Yes,No
"When hanging out with a friend, the conversation dies down. Neither of you saying anything for a bit. As you think of a new conversation topic, your friend probably thinks you are",Comfortable,Uncomfortable,Does your friend think you are okay with the silence?,Yes,No
"Your new supervisor calls a meeting to find out who everyone is and asks each of you in turn to present yourself and your area of expertise. When it is your turn to speak you pause frequently. As you reflect on the meeting later in the day, you feel that the supervisor thought you sounded",Confident,Hesitant,Do you think your supervisor thought you sounded unsure of yourself?,No,Yes
"Your boss asks you to give a speech at a conference. You are nervous about the idea of giving a speech, and consider telling your boss that you do not want to give the speech. After thinking about your anxiety, you decide that the speech is something you want to",Present,Avoid,"Do you decide to give the speech, even though you are anxious?",Yes,No
"You are on the committee of an amateur theater group, which is planning a new production. At the first meeting, the director asks you for ideas about which play to perform. Everybody pauses after you say your ideas, and you think the others find your thoughts",Interesting,Foolish,Did the other committee members like your ideas?,Yes,No
"You have a one-on-one meeting today with your intimidating boss, which you are nervous about. As you are meeting, you momentarily lose your train of thought. After that, your anxiety is",Tolerable,Intolerable,Are you able to tolerate your anxiety while meeting with your boss?,Yes,No
"You are at a metro stop waiting for a train. Standing by the edge, you realize you've never thought about how far a drop it is to the rails below. You are",Fascinated,Scared,Are you terrified by the height of the metro platform?,No,Yes
Your friend is taking an airplane to come visit you. The idea of your friend taking an airplane makes you feel anxious. You think you will deal with your anxiety,Successfully,Unsuccessfully,Are you able to successfully manage your nervousness?,Yes,No
"Your daughter goes horseback riding every weekend, and you reluctantly agree to go with her. When you get there, the riding instructor gives you a large horse to ride. Soon, the horse starts to gallop quickly and you feel",Excited,Terrified,Is it fun to try riding the horse?,Yes,No
"You have not heard from your elderly neighbor recently. You normally visit with him regularly, so it is strange that you have not seen him lately. Your neighbor has probably been",Fine,Sick,Has your elderly neighbor likely been sick?,No,Yes
"This morning you left the house and began your drive to work. About 10 minutes into your commute, you wonder if you remembered to lock the door to your home. As you continue to drive, you feel",Relaxed ,Anxious,"Are you able to stay calm, despite being unsure whether you remembered to lock your door?",Yes,No
"Your parents are getting older, and have discussed moving into an assisted living facility. You find yourself wondering what their health will be like in the future, given their increasing age. After thinking about it, you think their health in the future will likely be ",Good,Bad,Do you think your parents will have poor health in the future? ,No,Yes
"You are driving home after a soccer game where your team won. As your mind wanders, you think about the one goal that you missed. Overall, you consider your performance a",Success,Failure,Are you satisfied with your performance in the game?,Yes,No
"You are going to turn in a paper. As you walk, you glance down and realize there is a small typo on the last page of your paper. You believe that you should be",Unconcerned ,Upset,Should you be troubled about the small typo?,No,Yes
"You are on a hike with friends. You come to a suspension bridge you need to cross, but you aren't 100% sure it is safe even though your friends think it's probably OK. As you cross the bridge you feel",Calm,Anxious,Are you worried as you cross the bridge?,No,Yes
"Every Monday, you call your grandmother to say hello. Today is Monday, and she did not pick up the phone when you called, which is unusual. Your grandmother probably did not answer the phone because she is",Busy,Sick,Is your grandmother unable to talk because she is ill?,No,Yes
"You are out to dinner and realize that you are not wearing your favorite watch. You don't remember taking it off earlier, but think it is probably where you always keep it. You become a little anxious thinking about where the watch is, and your dinner ends up being",Enjoyable,Miserable,Is the dinner miserable while you worry about the watch?,No,Yes
You let your teenage son go to an amusement park with some friends. You feel worried about letting your son go to the amusement park without any parents. You think you will deal with your worry,Successfully,Unsuccessfully,Will you be unsuccessful at dealing with your anxiety?,No,Yes
You are at home alone watching TV at night. You must have been dozing because you suddenly wake up. You have the impression that you heard a frightening noise and then realize it must be,Neighbors,Robbers,Should you be frightened when you hear a noise at night?,No,Yes
"You are considering multiple options for where to go for spring break. You only have a little bit of information about each potential destination before you make your choice. When you decide, you feel ",Satisfied,Unprepared,Are you content with your decision for where to go on Spring Break?,Yes,No
"You are driving home after a soccer game where your team won. As your mind wanders, you think about the one goal that you missed. Overall, you consider your performance a ",Success,Failure,Are you satisfied with your performance in the game?,Yes,No
"You heard a rumor your boss is planning to fire someone in your office. Although you are normally a good employee, you were late for a meeting earlier this week. You feel that the probability that you will get fired is",Low,High,Do you think that you job is safe?,Yes,No
"You are on a hike with friends. You come to a suspension bridge you need to cross, but you aren't 100% sure it is safe even though your friends think it's probably OK. As you cross the bridge you feel",Calm,Anxious,Are you worried as you cross the bridge?,No,Yes
"You have spent several weeks perfecting a project. When you turn it in, there are a few very minor adjustments you wish you had time to make. As you think about your work, you feel",Content,Dissatisfied,Are you disappointed with the outcome of the project?,No,Yes
"Your daughter goes horseback riding every weekend, and you reluctantly agree to go with her. When you get there, the riding instructor gives you a large horse to ride. Soon, the horse starts to gallop quickly and you feel",Excited,Terrified,Is it fun to try riding the horse?,Yes,No
"You get blood drawn for your annual physical. Your doctor tells you that you will have to wait a few days to receive the results, and you worry about what the results will say. The worries are",Tolerable,Intolerable,Are your worries about your blood test results tolerable?,Yes,No
"Last weekend you ran your first race. Since then, you have been experiencing slight pain in your hip. This pain is probably",Meaningless,Serious,Does the pain in your hip mean you have a serious health problem?,No,Yes
"At your routine doctor's appointment, you are asked to take a test for a disease. After the test, you wait for your results in the waiting room. You think the chances that you have the disease are",Low,High,Do you think the test results will say you have the disease?,No,Yes
"You accidentally cut your finger a bit while cooking. You promptly clean the cut, and put on a bandage. Later, the cut hurts a little bit, and you think it is likely",Healing,Infected,Is your finger seriously infected?,No,Yes
"While out hiking you are bitten by a spider. Your friend assures you that the spider was not poisonous and that you will be fine. You worry that it could have been a deadly spider, but continue your hike anyway, and your worries for the rest of the hike are",Manageable,Unmanageable,Are you able to manage your worries while finishing your hike?,Yes,No
"You have a dentist appointment, and find out that you need some tests to check the health of your gums and teeth. After the dentist performs the tests, you wait for your results. You think your teeth and gums are probably",Healthy,Unhealthy,Do you think you have gum disease?,No,Yes
"You are taking a class and during a brief break, call home to speak to your partner. You are late getting back into the classroom. The other students will think that choosing now to call home must mean that you are",Conscientious,Rude,Did people think you were rude when you were late returning to class?,No,Yes
"You are having a discussion with your teacher in his office, which is a little anxiety provoking for you. You think about ending the discussion early. You decide to ",Stay,Leave,Are you able to continue the discussion with your teacher?,Yes,No
"One evening your colleagues decide to go out to eat and ask you to join them. You accept, but will have to wear your work clothes. When you arrive, the other diners turn to look at you. You think this is because they think you look",Stylish,Boring,Do you think that your colleagues think you are dressed inappropriately?,No,Yes
"The morning of your first evaluation with your new boss, she tells you that she has strong views about your work. You think that she likely finds your work",Excellent,Terrible,Do you think your new boss has an unfavorable opinion of your work?,No,Yes
"You best friend arranges a blind date for you. As you sit in the bar waiting to meet your date for the first time, you wonder how it will go. You feel that your date will think you are",Pleasant,Awkward,Do you think you will make a bad impression on your date?,No,Yes
"As a course requirement, you have to make a presentation to your classmates and your teacher. You prepare to start and you stumble on your first few words. You think that your performance will be evaluated",Positively,Negatively,Do you think the others will like your presentation?,Yes,No
"You notice an elderly neighbor carrying in bags of groceries from her car to her house. You decide to ask if she needs help, and she turns to stare at you. This is because she probably views you as",Kind,Annoying,Does your neighbor appreciate your offer to help with the groceries?,Yes,No
"Your firm is taking part in a recruitment campaign, and you are asked to go along and speak to local teenagers about the work you do. During the presentation, you feel slightly awkward, and after, other colleagues tell you that you spoke",Well,Poorly,Do your colleagues think your presentation to the teenagers will go well?,Yes,No
"You have been writing to a pen-pal in Belgium for several years and finally arranged for him to come and stay with you. As you stand at the airport waiting for his flight to arrive, you think that his first impression of you will be",Positive,Negative,Do you think you will make a good impression on your pen-pal at the airport?,Yes,No
"Your boss has hired a few interns for the summer. He asks you to stay after work and give them a brief presentation about the company's goals and values before you go home that evening, but tells you that it is completely optional. You feel a little nervous about the presentation, and you decide to ",Stay,Leave,Do you stay to give the optional presentation?,Yes,No
"You are outside jogging and see a group of people ahead of you. As you pass them, you stumble slightly and feel a little foolish. You hear them laugh as you pass by, and assume that they are laughing at",Jokes,You,Is the group of people laughing at you?,No,Yes
"An opportunity arises for a promotion in your department. You ask for more details of what it will entail. After hearing more about the strict selection criteria for the promotion, you decide that if you applied for the job, you would be",Welcomed,Rejected,Do you think you have a good chance of getting the promotion?,Yes,No
"You are giving a presentation at work. During one of your slides, you lose your train to thought and have to take a moment to look over your notes. Losing your train of thought while you are presenting is",Normal,Terrible,Is it normal to lose your train of thought while presenting?,Yes,No
"You buy a new suit, which is very different from your usual style of clothes. You try it on to show your friend. When she sees you, she pauses, and then comments that it makes you look",Nice,Silly,Did your friend think your new suit looked foolish?,No,Yes
"You need to return a jacket. As you speak with a sales associate, the sales associate does not smile very much. She probably thinks you are",Reasonable,Obnoxious,Does the sales associate think you are annoying?,No,Yes
"You are on a long drive with a friend. You notice neither of you have said anything for a few minutes. Because of the silence, your friend probably thinks you are",Normal,Awkward,Does your friend think you are awkward when there is silence during the drive?,No,Yes
You arrive at a party and realize that you don't know anyone there. No one talks to you immediately and you contemplate leaving. You decide to,Stay,Leave,Do you leave the party right away?,No,Yes
"You invite work colleagues to your house for a dinner party, although you know they don't always get along. At the dinner party, your guests talk a lot, despite not always agreeing. As you are clearing up afterwards, you think your guests found your party to be",Entertaining,Disastrous,Did your guests enjoy themselves at your dinner party?,Yes,No
"You write a short story to enter in a competition and need someone to proof read it. You ask your friend to proofread it, and he gives you a few suggestions on how to improve the story. Your friend probably thinks your work is",Great,Terrible,Does your friend like the story you wrote?,Yes,No
"You work in a large office along with your supervisors. One morning, you have to call your mother. Everyone else is working quietly and can hear what you say, and you guess that they think calling your mother from work means you are",Caring,Lazy,Were other judging you negatively because you called your mother from work?,No,Yes
"While out on a walk, you see a neighbor that you do not know well. You decide to say hello in passing. He probably thinks that you are",Friendly,Strange,Does your neighbor think that you are friendly?,Yes,No
"You are at a party with people you do not know well. You decide to join some people who are sitting on a couch and talking. When you try to enter the conversation topic, the people on the couch continue talking to each other, because they were probably",Distracted,Annoyed,Did the people at the party find you annoying?,No,Yes
"While at the hairdressers, you opt for a completely different haircut. When you see your friends afterwards, she gasps. Her gasp probably means that she thinks the new style makes you look",Great,Terrible,Did your friend like your new haircut?,Yes,No
"You spend an evening with a friend and end up talking about her relationship problems. As you give her some advice, you notice she is quiet. Once you get home later, you reflect on the evening and you think that she found your advice",Helpful,Unhelpful,Did your friend think you gave her good advice about relationships?,Yes,No
"You are giving a presentation during your evening class. As you talk, you hear a few of your classmates laughing in the corner. They were probably laughing at",Themselves,You,Were your classmates laughing at you?,No,Yes
"Even though you normally excel at your job, you recently had a rough week at work. Specifically, you made a couple of mistakes on an important project. When you think about the future, you think it is likely that your job is probably ",Secure,Insecure,Are you probably going to get fired?,No,Yes
You are seeing a movie with your friend and realize that you don't remember locking your car. You worry about someone breaking in and stealing something. The rest of the movie is,Thrilling,Miserable,Are you watching television with your friend?,No,No
"You are driving the speed limit, although it is raining. You know that you should probably slow down to be safe, but you remain at the speed limit. The chance of you getting into an accident is",Low,High,Is it snowing outside while you are driving?,No,No
"You rushed out of the house this morning. Once at work, you wonder if you forgot to turn off your space heater. The likelihood that the space heater will cause a fire is",Low,High,Will your space heater cause a fire?,No,Yes
"Your roof has a leak in it, and water comes into the house every time it rains. You think it is going to be expensive to hire someone to fix it. As you think about paying the bill to have the roof fixed, you feel like you will be",Fine,Broke,Will you be broke after paying the bill for fixing the roof?,No,Yes
"You recently saw a program on the news about how the economy has been particularly bad recently. Even though your boss typically gives you good reviews, you wonder if your job is safe. You think you will likely be",Fine,Fired,Did you recently watch the news?,Yes,Yes
"Your car needs expensive repairs. You have savings, but are reluctant to use them. When you pay for the car repairs, you will be",Fine,Bankrupt,Is your car running smoothly?,No,No
"You are headed out for vacation. You leave before double checking that all the appliances in your house are turned off. As you close the door to your house, you feel",Peaceful,Worried,"Are you feeling calm as you leave for vacation, despite not double checking the appliances?",Yes,No
"You are meeting your parents for dinner. You arrive at the restaurant, and they are not there yet, which is strange because they are typically on time. They are probably late due to a",Detour,Crash,Did your parents probably get into a car crash? ,No,Yes
"You are almost done with college, and preparing for your last final exam. You heard from other people that the exam is incredibly difficult. You studied a lot and think it is likely you will",Pass,Fail,Will you probably pass the test?,Yes,No
"You are auditioning for a play. You say most of your lines correctly, but mess up on one of two. You think the audition went",Well,Poorly,Do you feel good about the audition?,Yes,No
"You are looking for a new apartment. While on your first tour, you fall in love with the place and decide to sign a lease. The fact that you did not check out other apartments makes you feel",Fine,Anxious,Are you anxious that you only saw one apartment?,No,Yes
"You heard a rumor your boss is planning to fire someone in your office. Although you are normally a good employee, you were late for a meeting earlier this week. You feel that the probability that you will get fired is",Low,High,Do your think that you job is safe?,Yes,No
You are seeing a movie with your friend and realize that you don't remember locking your car. You worry about someone breaking in and stealing something. The rest of the movie is,Thrilling,Miserable,Do you enjoy the rest of the movie after thinking about the car?,Yes,No
"Every Monday, you call your grandmother to say hello. Today is Monday, and she did not pick up the phone when you called, which is unusual. Your grandmother probably did not answer the phone because she is",Busy,Sick,Is your grandmother unable to talk because she is ill?,No,Yes
"You are looking after a friend's child. The child you are watching asks to go to the park in a different neighborhood. In your opinion, an ordinary outing like this is",Safe,Risky,Is going to a park in a different neighborhood dangerous?,No,Yes
"You are applying to a prestigious internship program. As you prepare your resume, you reflect upon everything you have accomplished thus far. Your record is strong, but not perfect, which makes you feel",Successful,Inadequate,Are you pleased with your record?,Yes,No
"Your daughter is outside playing with friends. You look out the window and check on her, and do not see her. She is probably",Fine,Lost,Is your daughter okay?,Yes,No
You decide to donate blood at the local blood bank. You look around the room where you will give blood and notice it is very crowded. You decide the environment is,Safe,Unsafe,Is the blood bank harmless?,Yes,No
"You have a meeting with a co-worker, and notice that he repeatedly sniffles and wipes his nose with a tissue. After the meeting, you wash your hands. The chances that you will get sick from your coworker are",Minimal,High,Are you likely to get sick from your coworker?,No ,Yes
While on a hike you realize that you forgot to put sunscreen on. You did not bring sunscreen with you and you begin to worry about skin cancer. You try not to focus on this and the rest of the hike is,Enjoyable,Miserable,Did you enjoy the rest of the hike?,Yes,No
"You are getting your routine annual physical with your doctor. After he does the initial exam, he indicates that something looks unusual and that he needs to get another doctor for a second opinion. When it comes to managing your anxiety while you wait in the exam room, you are",Capable ,Incapable,Are you capable of managing your anxiety while waiting for your doctor?,Yes,No
"You have experienced dry mouth for a few days. You wonder if the dry mouth is a minor side effect from a medicine you just started taking, or if it something more serious. The likelihood of your dry mouth indicating a serious health problem is",Low,High,Is your dry mouth a minor side effect from your new medication?,No,Yes
"You meet a friend for lunch at a new restaurant. Once you sit down, you realize that your table was not wiped down after the last customers left, which makes you anxious about germs. You decide to stay and have lunch with your friend, and your anxiety is",Tolerable,Intolerable,Is your anxiety intolerable while dining with your friend?,No,Yes
"While at a picnic with some friends, you accidentally cut your finger while slicing fruit. Because you are outside, you are not able to wash it out immediately with soap and water. In a few days, your cut will be",Healed,Infected,Will your finger get infected from the cut?,No,Yes
